Year,Quarter,TOTAL ASSET
2010,Q2,32336000000
2010,Q3,36033000000
2010,FY,41678000000
2011,Q1,43927000000
2011,Q2,46997000000
2011,Q3,46898000000
2011,FY,44988000000
2012,Q1,54771000000
2012,Q2,50712000000
2012,Q3,51943000000
2012,FY,57653000000
2013,Q1,72348000000
2013,Q2,63337000000
2013,Q3,68219000000
2013,FY,73286000000
2014,Q1,80347000000
2014,Q2,70541000000
2014,Q3,67949000000
2014,FY,68531000000
2015,Q1,83403000000
2015,Q2,67891000000
2015,Q3,70953000000
2015,FY,89378000000
2016,Q1,76219000000
2016,Q2,87592000000
2017,Q3,1.12875E+11
2017,FY,1.28645E+11
2018,Q1,1.4381E+11
2018,Q2,1.30053E+11
2018,Q3,1.15761E+11
2018,FY,1.31339E+11
2019,Q1,1.40828E+11
2019,Q2,1.23346E+11
2019,Q3,1.34973E+11
2019,FY,1.62819E+11
2020,Q1,1.63231E+11
2020,Q2,1.43753E+11
2020,Q3,1.40065E+11
2020,FY,1.43713E+11
2021,Q1,1.54106E+11
2021,Q2,1.21465E+11
2021,Q3,1.14423E+11
2021,FY,1.34836E+11
2022,Q1,1.53154E+11
